reaction_id,substrate_smiles,substrate_class,leaving_group,reagent_smiles,reagent_role,solvent_type,temperature_class,mechanism_class
1,CCC(C)(C)I,3°,I,Cl2,radical_source,polar_aprotic,room_temp,other
2,CCCCI,1°,I,Br,acid,polar_aprotic,heat,other
3,CCC(C)Cl,2°,Cl,Br,acid,polar_aprotic,low,other
4,CCCCl,1°,Cl,CO,weak_nucleophile,polar_aprotic,heat,SN2
5,CCC(C)Cl,2°,Cl,Br2,radical_source,non_polar,low,other
6,CCCCI,1°,I,RS-,strong_nucleophile,polar_aprotic,low,SN2
7,CCCCI,1°,I,[OH-],strong_base,polar_aprotic,room_temp,SN2
8,CI,methyl,I,CN-,strong_nucleophile,non_polar,low,SN2
9,CCC(C)(C)I,3°,I,CO,weak_nucleophile,polar_protic,low,SN1
10,CI,methyl,I,CC[O-],strong_base,polar_protic,heat,SN2
11,CCC,alkane,None,Cl2,radical_source,non_polar,heat,radical_substitution
12,CCC(C)(C)Br,3°,Br,I-,strong_nucleophile,non_polar,low,other
13,CCC(C)(C)I,3°,I,Br2,radical_source,polar_aprotic,heat,other
14,CCC(C)(C)Br,3°,Br,Cl2,radical_source,polar_protic,low,other
15,CC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,heat,other
16,CCC(C)Cl,2°,Cl,CO,weak_nucleophile,polar_protic,room_temp,SN1
17,CCl,methyl,Cl,Cl2,radical_source,polar_protic,room_temp,other
18,BrC1CCCCC1,2°,Br,RS-,strong_nucleophile,polar_aprotic,low,SN2
19,CC(C)CBr,1°,Br,RS-,strong_nucleophile,polar_aprotic,heat,SN2
20,CI,methyl,I,CC[O-],strong_base,polar_protic,low,SN2
21,CCC(C)(C)Br,3°,Br,I-,strong_nucleophile,polar_aprotic,room_temp,other
22,BrC1CCCCC1,2°,Br,[OH-],strong_base,polar_aprotic,room_temp,other
23,C=CC,alkene,None,Br,acid,non_polar,low,electrophilic_addition
24,CCBr,1°,Br,Br,acid,polar_protic,low,other
25,CBr,methyl,Br,Br2,radical_source,non_polar,low,other
26,CC(C)CBr,1°,Br,CC[O-],strong_base,polar_aprotic,heat,SN2
27,CC(C)I,2°,I,Br,acid,polar_protic,low,other
28,CC(C)Br,2°,Br,[OH-],strong_base,polar_protic,low,other
29,CCC(C)(C)Br,3°,Br,CO,weak_nucleophile,polar_protic,room_temp,SN1
30,CCCCl,1°,Cl,Br2,radical_source,non_polar,low,other
31,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,polar_aprotic,low,other
32,BrC1CCCCC1,2°,Br,Cl,acid,non_polar,low,other
33,CCC(C)Cl,2°,Cl,Br,acid,polar_protic,heat,other
34,CC(C)CBr,1°,Br,CO,weak_nucleophile,polar_protic,low,SN2
35,CBr,methyl,Br,CC[O-],strong_base,polar_aprotic,room_temp,SN2
36,CC(C)(C)Br,3°,Br,Br,acid,non_polar,room_temp,other
37,CBr,methyl,Br,Br,acid,non_polar,heat,other
38,CCCCl,1°,Cl,CN-,strong_nucleophile,polar_aprotic,room_temp,SN2
39,CCCCI,1°,I,CO,weak_nucleophile,polar_protic,room_temp,SN2
40,CC(C)(C)Cl,3°,Cl,Br2,radical_source,non_polar,heat,other
41,CBr,methyl,Br,Br2,radical_source,polar_protic,room_temp,other
42,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,polar_protic,low,other
43,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_protic,room_temp,E2
44,CCC(C)Cl,2°,Cl,[OH-],strong_base,polar_aprotic,room_temp,other
45,CC(C)CBr,1°,Br,CC[O-],strong_base,polar_protic,room_temp,SN2
46,CCl,methyl,Cl,CN-,strong_nucleophile,non_polar,room_temp,SN2
47,C=C(C)C,alkene,None,Br,acid,non_polar,heat,electrophilic_addition
48,CCC(C)(C)Br,3°,Br,CC[O-],strong_base,non_polar,room_temp,E2
49,CC(C)(C)Cl,3°,Cl,CC[O-],strong_base,non_polar,heat,E2
50,BrC1CCCCC1,2°,Br,RS-,strong_nucleophile,non_polar,heat,other
51,CCC(C)Cl,2°,Cl,O,weak_nucleophile,polar_aprotic,heat,other
52,C=CC,alkene,None,Cl2,radical_source,polar_aprotic,low,electrophilic_addition
53,BrC1CCCCC1,2°,Br,I-,strong_nucleophile,polar_protic,room_temp,other
54,CC(C)Br,2°,Br,Br2,radical_source,polar_protic,heat,other
55,CCC(C)(C)Br,3°,Br,Cl2,radical_source,non_polar,heat,other
56,CC(C)(C)Cl,3°,Cl,Br,acid,polar_aprotic,low,other
57,BrC1CCCCC1,2°,Br,O,weak_nucleophile,polar_aprotic,low,other
58,CCCCI,1°,I,Cl,acid,polar_aprotic,low,other
59,CC(C)CBr,1°,Br,O,weak_nucleophile,non_polar,low,SN2
60,CCBr,1°,Br,Cl2,radical_source,polar_aprotic,heat,other
61,CCC(C)(C)I,3°,I,[OH-],strong_base,polar_aprotic,room_temp,E2
62,BrC1CCCCC1,2°,Br,Br2,radical_source,polar_aprotic,room_temp,other
63,C=C,alkene,None,Br2,radical_source,non_polar,low,electrophilic_addition
64,CCCCl,1°,Cl,O,weak_nucleophile,polar_aprotic,heat,SN2
65,CC(C)CBr,1°,Br,O,weak_nucleophile,polar_aprotic,room_temp,SN2
66,CCCCI,1°,I,CN-,strong_nucleophile,polar_aprotic,heat,SN2
67,C=C(C)C,alkene,None,Br2,radical_source,non_polar,low,electrophilic_addition
68,CC(C)Br,2°,Br,CC[O-],strong_base,polar_aprotic,low,other
69,CC(C)(C)Cl,3°,Cl,RS-,strong_nucleophile,polar_protic,room_temp,other
70,BrC1CCCCC1,2°,Br,O,weak_nucleophile,polar_aprotic,heat,other
71,CI,methyl,I,RS-,strong_nucleophile,polar_aprotic,heat,SN2
72,CCl,methyl,Cl,Cl2,radical_source,polar_aprotic,heat,other
73,CCl,methyl,Cl,Br,acid,non_polar,heat,other
74,CC(C)(C)Br,3°,Br,CC[O-],strong_base,non_polar,room_temp,E2
75,CI,methyl,I,[OH-],strong_base,polar_protic,low,SN2
76,CCC(C)(C)Br,3°,Br,Br2,radical_source,polar_aprotic,heat,other
77,CI,methyl,I,Cl,acid,polar_protic,room_temp,other
78,CCBr,1°,Br,Cl,acid,non_polar,low,other
79,CCC(C)(C)Br,3°,Br,[OH-],strong_base,non_polar,low,E2
80,CC(C)(C)Cl,3°,Cl,Cl2,radical_source,non_polar,low,other
81,CI,methyl,I,[OH-],strong_base,polar_protic,room_temp,SN2
82,C=CC,alkene,None,Cl,acid,polar_aprotic,heat,electrophilic_addition
83,CCCCl,1°,Cl,Cl2,radical_source,polar_aprotic,heat,other
84,CC(C)(C)Br,3°,Br,[OH-],strong_base,polar_aprotic,room_temp,E2
85,CBr,methyl,Br,[OH-],strong_base,non_polar,heat,SN2
86,CC(C)Br,2°,Br,Cl,acid,polar_aprotic,heat,other
87,CCCCl,1°,Cl,Cl2,radical_source,polar_aprotic,heat,other
88,CCBr,1°,Br,Cl,acid,polar_protic,room_temp,other
89,CCCCl,1°,Cl,Br,acid,polar_protic,low,other
90,CCCCl,1°,Cl,CO,weak_nucleophile,polar_aprotic,room_temp,SN2
91,CC(C)(C)Cl,3°,Cl,O,weak_nucleophile,polar_protic,heat,E1
92,CC(C)(C)Cl,3°,Cl,Br,acid,polar_aprotic,heat,other
93,CI,methyl,I,CO,weak_nucleophile,polar_protic,heat,SN2
94,CC(C)I,2°,I,I-,strong_nucleophile,non_polar,room_temp,other
95,C=CC,alkene,None,Cl2,radical_source,non_polar,heat,electrophilic_addition
96,CCBr,1°,Br,I-,strong_nucleophile,non_polar,room_temp,SN2
97,BrC1CCCCC1,2°,Br,Cl2,radical_source,polar_aprotic,low,other
98,CCBr,1°,Br,CC[O-],strong_base,polar_protic,room_temp,SN2
99,CI,methyl,I,O,weak_nucleophile,non_polar,low,SN2
100,CC(C)Br,2°,Br,CN-,strong_nucleophile,non_polar,heat,other
101,CC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,room_temp,other
102,CC(C)I,2°,I,CN-,strong_nucleophile,polar_protic,room_temp,other
103,CC(C)(C)Cl,3°,Cl,Cl,acid,non_polar,heat,other
104,CC(C)(C)Cl,3°,Cl,[OH-],strong_base,polar_aprotic,heat,E2
105,CC(C)Br,2°,Br,CN-,strong_nucleophile,non_polar,room_temp,other
106,CC(C)(C)Br,3°,Br,RS-,strong_nucleophile,polar_protic,heat,other
107,C=CC,alkene,None,Cl2,radical_source,non_polar,low,electrophilic_addition
108,CC(C)CBr,1°,Br,CC[O-],strong_base,polar_aprotic,low,SN2
109,CC(C)I,2°,I,Br,acid,polar_aprotic,low,other
110,CCC(C)(C)I,3°,I,CC[O-],strong_base,non_polar,low,E2
111,CCBr,1°,Br,Cl,acid,polar_protic,low,other
112,CC(C)(C)Br,3°,Br,CC[O-],strong_base,non_polar,low,E2
113,CBr,methyl,Br,CN-,strong_nucleophile,polar_protic,heat,SN2
114,CCC(C)Cl,2°,Cl,O,weak_nucleophile,polar_protic,room_temp,SN1
115,CCl,methyl,Cl,Br,acid,polar_protic,heat,other
116,CI,methyl,I,CN-,strong_nucleophile,polar_aprotic,heat,SN2
117,CCl,methyl,Cl,CC[O-],strong_base,polar_protic,room_temp,SN2
118,CBr,methyl,Br,CN-,strong_nucleophile,polar_protic,room_temp,SN2
119,CCCCl,1°,Cl,CC[O-],strong_base,polar_aprotic,room_temp,SN2
120,CC(C)Br,2°,Br,Cl,acid,polar_protic,heat,other
121,C=CC,alkene,None,Br2,radical_source,polar_protic,low,electrophilic_addition
122,CCC,alkane,None,Cl2,radical_source,polar_protic,room_temp,radical_substitution
123,CC(C)CBr,1°,Br,CO,weak_nucleophile,non_polar,low,SN2
124,CCC(C)(C)Br,3°,Br,Cl2,radical_source,polar_protic,room_temp,other
125,CC(C)Br,2°,Br,Br2,radical_source,polar_aprotic,heat,other
126,CCCCI,1°,I,CO,weak_nucleophile,non_polar,room_temp,SN2
127,CCBr,1°,Br,Cl2,radical_source,non_polar,room_temp,other
128,C=CC,alkene,None,Cl2,radical_source,polar_aprotic,room_temp,electrophilic_addition
129,CC(C)I,2°,I,Br2,radical_source,polar_aprotic,heat,other
130,CCC(C)Cl,2°,Cl,CN-,strong_nucleophile,polar_protic,heat,other
131,CCC(C)(C)I,3°,I,O,weak_nucleophile,polar_aprotic,room_temp,other
132,CI,methyl,I,RS-,strong_nucleophile,polar_protic,low,SN2
133,CC(C)Br,2°,Br,Cl,acid,polar_protic,heat,other
134,CI,methyl,I,Br2,radical_source,polar_aprotic,room_temp,other
135,CCC(C)Cl,2°,Cl,Br2,radical_source,polar_protic,low,other
136,CCC(C)Cl,2°,Cl,Br,acid,polar_aprotic,low,other
137,CBr,methyl,Br,Br2,radical_source,non_polar,room_temp,other
138,CCC(C)(C)Br,3°,Br,[OH-],strong_base,polar_protic,room_temp,E2
139,CCl,methyl,Cl,CO,weak_nucleophile,non_polar,room_temp,SN2
140,CCl,methyl,Cl,Br2,radical_source,non_polar,room_temp,other
141,CCl,methyl,Cl,Br2,radical_source,polar_protic,room_temp,other
142,CC(C)(C)Br,3°,Br,Br2,radical_source,polar_protic,room_temp,other
143,CCC(C)Cl,2°,Cl,CC[O-],strong_base,polar_protic,heat,E2
144,CC(C)Br,2°,Br,O,weak_nucleophile,polar_aprotic,low,other
145,CCC(C)Cl,2°,Cl,CN-,strong_nucleophile,polar_protic,heat,other
146,CCC(C)(C)Br,3°,Br,O,weak_nucleophile,polar_aprotic,room_temp,other
147,CCC(C)(C)I,3°,I,Cl2,radical_source,polar_protic,low,other
148,CCC(C)Cl,2°,Cl,[OH-],strong_base,non_polar,low,other
149,CCCCl,1°,Cl,CC[O-],strong_base,polar_aprotic,room_temp,SN2
150,CCC(C)(C)I,3°,I,Cl,acid,polar_aprotic,low,other
151,CCCCl,1°,Cl,CO,weak_nucleophile,non_polar,low,SN2
152,CBr,methyl,Br,CN-,strong_nucleophile,non_polar,heat,SN2
153,CC(C)I,2°,I,CC[O-],strong_base,polar_protic,low,other
154,CCCCI,1°,I,RS-,strong_nucleophile,polar_protic,room_temp,SN2
155,CCC(C)Cl,2°,Cl,CO,weak_nucleophile,polar_aprotic,heat,other
156,CI,methyl,I,Cl2,radical_source,polar_aprotic,low,other
157,CC(C)I,2°,I,[OH-],strong_base,polar_protic,heat,E2
158,BrC1CCCCC1,2°,Br,CO,weak_nucleophile,polar_protic,low,SN1
159,C1CCCCC1,alkane,None,Br2,radical_source,polar_protic,heat,radical_substitution
160,CCl,methyl,Cl,I-,strong_nucleophile,polar_protic,low,SN2
161,CC(C)Br,2°,Br,CO,weak_nucleophile,polar_aprotic,room_temp,other
162,CCC(C)(C)Br,3°,Br,Cl2,radical_source,non_polar,low,other
163,CCC(C)(C)I,3°,I,CO,weak_nucleophile,polar_aprotic,room_temp,other
164,CCC(C)(C)I,3°,I,O,weak_nucleophile,polar_protic,low,SN1
165,CI,methyl,I,Cl,acid,non_polar,heat,other
166,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,non_polar,heat,other
167,CCBr,1°,Br,RS-,strong_nucleophile,polar_protic,room_temp,SN2
168,CBr,methyl,Br,CN-,strong_nucleophile,polar_aprotic,low,SN2
169,CI,methyl,I,CC[O-],strong_base,polar_protic,room_temp,SN2
170,CCBr,1°,Br,RS-,strong_nucleophile,non_polar,room_temp,SN2
171,CCC(C)(C)Br,3°,Br,I-,strong_nucleophile,non_polar,heat,other
172,CC(C)CBr,1°,Br,CN-,strong_nucleophile,non_polar,heat,SN2
173,CCC(C)Cl,2°,Cl,O,weak_nucleophile,non_polar,room_temp,other
174,CCC(C)Cl,2°,Cl,Br,acid,polar_aprotic,low,other
175,CC(C)(C)Br,3°,Br,CC[O-],strong_base,polar_aprotic,room_temp,E2
176,CCC(C)(C)I,3°,I,Cl2,radical_source,polar_aprotic,room_temp,other
177,CBr,methyl,Br,RS-,strong_nucleophile,polar_aprotic,room_temp,SN2
178,CCCCI,1°,I,CO,weak_nucleophile,polar_protic,low,SN2
179,CBr,methyl,Br,Br2,radical_source,polar_aprotic,low,other
180,CCBr,1°,Br,O,weak_nucleophile,non_polar,heat,SN2
181,CBr,methyl,Br,Br2,radical_source,polar_protic,heat,other
182,CC(C)Br,2°,Br,Cl,acid,non_polar,low,other
183,CC(C)(C)Cl,3°,Cl,CN-,strong_nucleophile,polar_protic,heat,other
184,CI,methyl,I,Cl,acid,polar_protic,low,other
185,CCCCI,1°,I,Br,acid,non_polar,room_temp,other
186,CC(C)Br,2°,Br,Br,acid,polar_protic,room_temp,other
187,CBr,methyl,Br,CO,weak_nucleophile,polar_aprotic,heat,SN2
188,CCCCl,1°,Cl,Br2,radical_source,polar_aprotic,room_temp,other
